,LİSE,WEB,ADRES
0,ADIYAMAN - BESNİ - Mehmet Akif Ersoy Fen Lisesi,http://besnifen.meb.k12.tr/meb_iys_dosyalar/02/02/967431/okulumuz_hakkinda.html,Erdemoğlu mah Halil Ağar bulvarı no 75 Besni Adıyaman
1,ADIYAMAN - BESNİ - Besni İbn - i Sina Mesleki ve Teknik Anadolu Lisesi,http://besniasml.meb.k12.tr/meb_iys_dosyalar/02/02/974054/okulumuz_hakkinda.html,Erdemoğlu Mah Yenikent mevkii Akedaş Elektrik İşletmeciliği Bitişiği Mustafa Erdemoğlu Anadolu Lisesi Yanı Besni ADIYAMAN
2,ADIYAMAN - BESNİ - Besni Mustafa Erdemoğlu Anadolu Lisesi,http://besnimeanadolu.meb.k12.tr/meb_iys_dosyalar/02/02/281703/okulumuz_hakkinda.html,Erdemoğlu Mah Yenikent Besni Adıyaman
3,ADIYAMAN - BESNİ - Şehit Mehmet Yağmur Anadolu İmam Hatip Lisesi,http://besnismyagmurlisesi.meb.k12.tr/meb_iys_dosyalar/02/02/323109/okulumuz_hakkinda.html,Besni Şehit Mehmet Yağmur Anadolu İmam Hatip Lisesi Kaymakam Hasan tütün Mah Halil Baba Cad Besni ADIYAMAN
4,ADIYAMAN - BESNİ - Besni Osman İsot Mesleki ve Teknik Anadolu Lisesi,http://besnieml.meb.k12.tr/meb_iys_dosyalar/02/02/114205/okulumuz_hakkinda.html,Adres Yukarı Sarhan Mahallesi Ağarlar Caddesi No1 02300 Besni ADIYAMAN
5,ADIYAMAN - BESNİ - Besni Şehit Eren Kupal Mesleki ve Teknik Anadolu Lisesi,http://sehiterenkupalmtal.meb.k12.tr/meb_iys_dosyalar/02/02/114229/okulumuz_hakkinda.html,Hasan Tütün mahallesi Besni Adıyaman
6,ADIYAMAN - BESNİ - Besni Anadolu İmam Hatip Lisesi,http://besniihl.meb.k12.tr/meb_iys_dosyalar/02/02/114230/okulumuz_hakkinda.html,KORUPINAR MAH STADYUM CAD NO111 Besni Adıyaman
7,ADIYAMAN - BESNİ - Sarıyaprak Çok Programlı Anadolu Lisesi,http://sariyaprakcpl.meb.k12.tr/meb_iys_dosyalar/02/02/374227/okulumuz_hakkinda.html,Fatih Mahallesi Sarıyaprak Beldesi 02300 Besni ADIYAMAN
8,ADIYAMAN - BESNİ - Şambayat Çok Programlı Anadolu Lisesi,http://sambayatcpl.meb.k12.tr/meb_iys_dosyalar/02/02/377986/okulumuz_hakkinda.html,Adres Yeni Mah Okul Cad No1 Şambayat Kasabası Besni ADIYAMAN
9,ADIYAMAN - BESNİ - Besni Köseceli Çok Programlı Lisesi,http://kosecelicpl.meb.k12.tr/meb_iys_dosyalar/02/02/745573/okulumuz_hakkinda.html,İl İlçe Merkezine Uzaklık Adıyaman´a uzaklığı 65 km Besni ye uzaklığı 20 km dir
10,ADIYAMAN - BESNİ - Şehit Abidin Tanrıkolu Anadolu Lisesi,http://besnilisesi.meb.k12.tr/meb_iys_dosyalar/02/02/972776/okulumuz_hakkinda.html,Yukarı Sarhan mah Lise cad No 21 Besni ADIYAMAN
11,ADIYAMAN - BESNİ - Besni Çakırhöyük Çok Programlı Anadolu Lisesi,http://cakirhoyukcpl.meb.k12.tr/meb_iys_dosyalar/02/02/745562/okulumuz_hakkinda.html,ÇAKIRHÜYÜK BELDESİ KÖPRÜBAŞI MAH ERDEMOĞLU BUL NO 30 BESNİ ADIYAMAN
12,ADIYAMAN - BESNİ - Besni Servi Erdemoğlu Mesleki ve Teknik Anadolu Lisesi,http://besnikml.meb.k12.tr/meb_iys_dosyalar/02/02/114217/okulumuz_hakkinda.html,Çat Mahallesi Atatürk Caddesi No53 Besni Adıyaman
13,ADIYAMAN - BESNİ - Suvarlı Çok Programlı Anadolu Lisesi,http://besnisehitselcukdostcpal.meb.k12.tr/meb_iys_dosyalar/02/02/748514/okulumuz_hakkinda.html,Adalet mahallesi Gaziantep caddesi no25 Suvarlı Beldesi Besni Adıyaman
14,ADIYAMAN - BESNİ - BESNİ KIZ ANADOLU İMAM HATİP LİSESİ,http://besnikizaihl.meb.k12.tr/meb_iys_dosyalar/02/02/760730/okulumuz_hakkinda.html,Ali Erdemoğlu Mahallesi 501 Sokak No1 Besni
15,ADIYAMAN - BESNİ - Kızılin Çok Programlı Anadolu Lisesi,http://kizilinanadolulisesi.meb.k12.tr/meb_iys_dosyalar/02/02/762795/okulumuz_hakkinda.html,Kızılin Köyü Besni ADIYAMAN
16,ADIYAMAN - BESNİ - 15 TEMMUZ ŞEHİTLERİ ANADOLU LİSESİ,http://besni15temmuz.meb.k12.tr/meb_iys_dosyalar/02/02/765274/okulumuz_hakkinda.html,-
